+------------+-------------------+-------------------+-------------------+--------------------+-------------------+-------------------+----------+
|   Topic    |       crisis      |   privatización   |   contaminación   |      política      |      economía     |     tecnología    | Televisa |
+------------+-------------------+-------------------+-------------------+--------------------+-------------------+-------------------+----------+
| Article 0  |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 1  |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 2  |        0.0        |        0.0        |        0.0        |       100.0        |        0.0        |        0.0        |   0.0    |
| Article 3  |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 4  |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 5  | 83.33333333333334 |        0.0        |        0.0        | 16.666666666666664 |        0.0        |        0.0        |   0.0    |
| Article 6  |        0.0        |        25.0       |        0.0        |        50.0        |        25.0       |        0.0        |   0.0    |
| Article 7  |        0.0        |        0.0        |        0.0        |       100.0        |        0.0        |        0.0        |   0.0    |
| Article 8  |        50.0       |        0.0        |        0.0        |        50.0        |        0.0        |        0.0        |   0.0    |
| Article 9  |        0.0        |        50.0       |        0.0        |        25.0        |        25.0       |        0.0        |   0.0    |
| Article 10 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 11 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 12 |        0.0        | 33.33333333333333 |        0.0        |        0.0         | 33.33333333333333 | 33.33333333333333 |   0.0    |
| Article 13 |        0.0        |        0.0        |        0.0        |        50.0        |        50.0       |        0.0        |   0.0    |
| Article 14 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 15 |        0.0        |        0.0        |        0.0        |       100.0        |        0.0        |        0.0        |   0.0    |
| Article 16 |        0.0        | 44.44444444444444 |        0.0        | 44.44444444444444  |        0.0        | 11.11111111111111 |   0.0    |
| Article 17 |        0.0        |        0.0        |        0.0        | 16.666666666666664 | 83.33333333333334 |        0.0        |   0.0    |
| Article 18 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 19 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 20 |        0.0        |        0.0        |        0.0        |       100.0        |        0.0        |        0.0        |   0.0    |
| Article 21 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 22 |        0.0        |        0.0        | 66.66666666666666 |        0.0         |        0.0        | 33.33333333333333 |   0.0    |
| Article 23 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 24 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 25 |        0.0        | 33.33333333333333 |        0.0        | 55.55555555555556  | 11.11111111111111 |        0.0        |   0.0    |
| Article 26 |        0.0        |        0.0        |        0.0        |        75.0        |        12.5       |        12.5       |   0.0    |
| Article 27 |        0.0        |        0.0        |        0.0        |        50.0        |        50.0       |        0.0        |   0.0    |
| Article 28 |        0.0        |        0.0        |        0.0        |        0.0         | 66.66666666666666 | 33.33333333333333 |   0.0    |
| Article 29 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 30 |        30.0       |        70.0       |        0.0        |        0.0         |        0.0        |        0.0        |   0.0    |
| Article 31 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
